,Alpha,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,Xreal
2012,0.7343698044989659,0.7996941889024377,-0.05,0.05,-0.0042672751976925456,-0.013299713638039723,-0.00023483675734536872,0.06532438440347177
2013,0.7343698044989659,0.8001474407002596,-0.05,0.15,-0.004326697424229733,-0.013404461044359096,-0.007093406563841646,0.06577763620129362
2014,0.7343698044989659,0.7999584745307629,-0.15,0.05,-0.004301873636539935,-0.04647847464607901,-0.00024300663336024311,0.06558867003179691
2015,0.7343698044989659,0.7996344591622659,-0.15,0.15,-0.0042594751483198065,-0.046338871547309805,-0.007180078749329805,0.0652646546633
2016,0.7956375569844143,0.7999402566876432,-0.05,0.05,-1.8513224736166414e-05,-0.002948783195059061,-0.0020882432544132726,0.0043026997032289405
2017,0.7956375569844143,0.8003631880502085,-0.05,0.15,-2.233158896999881e-05,-0.0029948946955494146,-0.02110464226923175,0.004725631065794156
2018,0.7956375569844143,0.7997340481570115,-0.15,0.05,-1.6781239927167188e-05,-0.02374572859170634,-0.0021071321226674425,0.00409649117259725
2019,0.7956375569844143,0.8002387344790352,-0.15,0.15,-2.117083433700546e-05,-0.02390152408272326,-0.021140817585950746,0.004601177494620856
2020,0.8209190363304608,0.8003587450491962,-0.05,0.05,-0.0004227255775704441,-0.0008666964494439867,-0.004978754705696902,-0.020560291281264576
2021,0.8209190363304608,0.7997988034259493,-0.05,0.15,-0.0004460642379408095,-0.0008340409474896615,-0.029282134109294252,-0.021120232904511482
2022,0.8209190363304608,0.7998882122923313,-0.15,0.05,-0.00044229555972276574,-0.016633048348283913,-0.005045377963535717,-0.021030824038129503
2023,0.8209190363304608,0.8007619243479377,-0.15,0.15,-0.0004063091634759773,-0.016859175568719038,-0.028953442758232913,-0.020157111982523124
2024,0.9322819739203971,0.9322819739203971,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
2025,0.9322819739203971,0.8000605349660102,-0.05,0.15,-0.017482508919168683,-0.006760365023729985,-0.07964894060548479,-0.13222143895438698
2026,0.9322819739203971,0.9322819739203971,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
2027,0.9322819739203971,0.7996632088776957,-0.15,0.15,-0.017587736841451245,-0.0003021073286408178,-0.07987336635426169,-0.13261876504270143
2028,0.7757299273734086,0.8000708355598939,-0.05,0.05,-0.0005924798113429054,-0.005526570629991433,-0.0006583889926943789,0.024340908186485266
2029,0.7757299273734086,0.8001743248801355,-0.05,0.15,-0.0005975285694668757,-0.0055419683201395654,-0.015764209317448808,0.02444439750672689
2030,0.7757299273734086,0.7999166964155804,-0.15,0.05,-0.0005849997966993584,-0.030341030509350886,-0.0006663228924821822,0.024186769042171763
2031,0.7757299273734086,0.8001398769200393,-0.15,0.15,-0.0005958456368690549,-0.030418830500858255,-0.015772860772879854,0.02440994954663067
2032,0.77797355323385,0.799627398826938,-0.05,0.05,-0.00046888902896929783,-0.005134273588278101,-0.0008035044696604952,0.021653845593088028
2033,0.77797355323385,0.8001005177813939,-0.05,0.15,-0.0004896025600882658,-0.005202299014842659,-0.016351513195825087,0.022126964547543926
2034,0.77797355323385,0.7997891748943898,-0.15,0.05,-0.0004759213484358156,-0.02952060784659777,-0.0007943591823818305,0.021815621660539852
2035,0.77797355323385,0.7999467602919961,-0.15,0.15,-0.00048282182842016133,-0.029574783945863988,-0.01639085971097633,0.021973207058146094
2036,0.7029741082545552,0.8002216415094887,-0.05,0.05,-0.0094570827241694,-0.02168183604966275,-0.0022323293986760482,0.09724753325493352
2037,0.7029741082545552,0.8002863007039301,-0.05,0.15,-0.009469662799304186,-0.021700882044241677,-0.0027760050644917017,0.09731219244937495
2038,0.7029741082545552,0.7997718154496998,-0.15,0.05,-0.009369796118236944,-0.06090910827678032,-0.0021900253987224864,0.09679770719514458
2039,0.7029741082545552,0.8000473604073135,-0.15,0.15,-0.009423216283512994,-0.061045191929340485,-0.002801240637685503,0.0970732521527583
